player,image,rank,passATT,passCMP,passYDS,passTDS,passINTS,rushATT,rushYDS,rushTDS,miscFL,miscFPTS
Case Keenum MIN ,https://s3.amazonaws.com/ryaong792/QB/C.Keenum.jpg,51,17.5,11,121.5,0.5,0.5,1.5,2.5,0,0,6.1
Nathan Peterman BUF ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,52,16.5,10,111.2,0.7,0.8,0.5,2.2,0,0,5.9
Kellen Clemens LAC ,https://s3.amazonaws.com/ryaong792/QB/K.Clemens.jpg,53,14.4,8.8,99.6,0.7,0.6,1.1,2.4,0,0,5.6
Nick Foles PHI ,https://s3.amazonaws.com/ryaong792/QB/N.Foles.jpg,54,14,7.5,90.8,0.4,0.1,1.1,3.9,0,0,5.5
Matt Cassel TEN ,https://s3.amazonaws.com/ryaong792/QB/M.Cassel.jpg,55,16,9.4,104.7,0.4,0.4,1.1,3.6,0,0,5.5
Scott Tolzien IND ,https://s3.amazonaws.com/ryaong792/QB/S.Toizien.jpg,56,13.2,7.8,90,0.3,0.2,0.9,2.1,0,0,4.8
Brett Hundley GB ,https://s3.amazonaws.com/ryaong792/QB/B.Hundley.jpg,57,15.5,8.9,108.1,0.2,0.2,0.6,1.4,0,0,4.8
Kellen Moore DAL ,https://s3.amazonaws.com/ryaong792/QB/K.Moore.jpg,58,15.1,9.1,106.6,0.1,0.2,1.1,1.4,0,0,4.5
Sean Mannion LAR ,https://s3.amazonaws.com/ryaong792/QB/S.Mannion.jpg,59,15.3,8.8,92.9,0.1,0.1,1.1,2.4,0,0,4.2
Matt Schaub ATL ,https://s3.amazonaws.com/ryaong792/QB/M.Schaub.jpg,60,10.6,6.8,72.3,0.4,0.4,0.7,1.6,0,0,4
Geno Smith NYG ,https://s3.amazonaws.com/ryaong792/QB/G.Smith.jpg,61,8.9,5.5,61.2,0.4,0.4,1.1,3.6,0,0,3.7
Jake Rudock DET ,https://s3.amazonaws.com/ryaong792/QB/J.Rudock.jpg,62,20,12,138,0,1,2,2,0,0,3.7
Jimmy Garoppolo NE ,https://s3.amazonaws.com/ryaong792/QB/J.Garoppolo.jpg,63,9.3,5.2,66.5,0.1,0.1,0.4,1.3,0,0,3.1
Chad Henne JAC ,https://s3.amazonaws.com/ryaong792/QB/C.Henne.jpg,64,12.9,7.8,85.9,0.1,0.6,1.1,3.9,0,0,3
Matt Moore MIA ,https://s3.amazonaws.com/ryaong792/QB/M.Moore.jpg,65,9.4,5.4,64.6,0.1,0.1,0.7,1.6,0,0,3
Ryan Mallett BAL ,https://s3.amazonaws.com/ryaong792/QB/R.Mallett.jpg,66,12.8,7.6,82.5,0.1,0.4,0.4,0.9,0,0,2.9
Colt McCoy WAS ,https://s3.amazonaws.com/ryaong792/QB/C.McCoy.jpg,67,9,5.5,61.2,0.1,0.1,0.7,1.9,0,0,2.8
Brad Kaaya DET ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,68,6.2,3.8,42.7,0.3,0.2,0.2,0.8,0,0,2.6
Chase Daniel NO ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,69,10.6,6.4,75.6,0.2,0.6,0.6,1.4,0,0,2.6
Ryan Fitzpatrick NYJ ,https://s3.amazonaws.com/ryaong792/QB/R.Fitzpatrick.jpg,70,5.9,3.6,40.7,0.3,0.2,0.2,0.8,0,0,2.5
Matt Barkley SF ,https://s3.amazonaws.com/ryaong792/QB/M.Barkley.jpg,71,4.7,3.2,33.3,0.1,0.1,0.1,0.1,0,0,1.5
Brandon Weeden HOU ,https://s3.amazonaws.com/ryaong792/QB/B.Weeden.jpg,72,2,1,11,0,0,0,1,0,0,0.5
EJ Manuel OAK ,https://s3.amazonaws.com/ryaong792/QB/E.Manuel.jpg,73,2,1,9,0,0,0,1,0,0,0.5
Shaun Hill MIN ,https://s3.amazonaws.com/ryaong792/QB/S.Hill.jpg,74,1,1,8,0,0,0,0,0,0,0.3
Mark Sanchez CHI ,https://s3.amazonaws.com/ryaong792/QB/M.Sanchez.jpg,75,1,1,6,0,0,0,0,0,0,0.2
Matt McGloin PHI ,https://s3.amazonaws.com/ryaong792/QB/M.McGlein.jpg,76,1,1,4,0,0,0,0,0,0,0.2
