Player,Image,Rank,RushATT,RushYDS,RushTDS,ReceivingREC,ReceivingYDS,ReceivingTDS,MiscFL,MiscFPTS
Devante Parker MIA ,https://s3.amazonaws.com/ryaong792/WR/D.Parker.jpg,41,0,0,0,59.7,832.2,4.8,0.3,111.4
Martavis Bryant PIT ,https://s3.amazonaws.com/ryaong792/WR/M.Bryant.jpg,42,4.5,28.7,0.1,52.9,746.6,5.8,0.9,111.1
Corey Davis TEN ,https://s3.amazonaws.com/ryaong792/WR/C.Davis.jpg,43,0,0,0,57.9,776.2,5.5,0.5,109.6
Jordan Matthews PHI ,https://s3.amazonaws.com/ryaong792/WR/J.Matthews.jpg,44,0.5,1,0,74.2,805.9,4.8,0.4,108.9
Marvin Jones DET ,https://s3.amazonaws.com/ryaong792/WR/M.Jones.jpg,45,0.5,2.5,0,58.2,781.6,4.9,0.2,107.6
Jeremy Maclin KC ,https://s3.amazonaws.com/ryaong792/WR/J.Maclin.jpg,46,0.5,1.5,0,68.3,803.5,4.6,0.4,107.5
John Brown ARI ,https://s3.amazonaws.com/ryaong792/WR/J.Brown-ARI.jpg,47,3.1,17.4,0.1,58.6,792.3,4.2,0.4,105.7
Adam Thielen MIN ,https://s3.amazonaws.com/ryaong792/WR/A.Thielen.jpg,48,2.4,13.8,0.1,64.8,801.9,4.2,1.2,104.7
Breshad Perriman BAL ,https://s3.amazonaws.com/ryaong792/WR/B.Perriman.jpg,49,1,4.5,0,54.3,776.8,4.2,0.2,103.1
Cameron Meredith CHI ,https://s3.amazonaws.com/ryaong792/WR/C.Meredith.jpg,50,0,0,0,66.6,855.6,3.8,2.9,102.6
Ted Ginn NO ,https://s3.amazonaws.com/ryaong792/WR/T.Ginn.jpg,51,4.5,29.2,0.1,52.4,721.1,4.9,1.9,101.4
Taylor Gabriel ATL ,https://s3.amazonaws.com/ryaong792/WR/T.Gabriel.jpg,52,4.4,31.9,0.1,47.4,694.3,4.8,0.4,101
Sterling Shepard NYG ,https://s3.amazonaws.com/ryaong792/WR/S.Shepard.jpg,53,3.5,20.5,0.1,59.1,673.3,5.2,0.4,100.1
J.J. Nelson ARI ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,54,3.6,21.9,0.1,41.6,675.5,5,1.5,96.8
Kenny Stills MIA ,https://s3.amazonaws.com/ryaong792/WR/K.Stills.jpg,55,0,0,0,41.3,659.4,5.2,0.3,96.7
Cole Beasley DAL ,https://s3.amazonaws.com/ryaong792/WR/C.Beasiey.jpg,56,0.5,2,0,68.7,741.5,4,0.8,96.5
Pierre Garcon SF ,https://s3.amazonaws.com/ryaong792/WR/P.Garcon.jpg,57,0,0,0,62,725.6,3.9,0.4,95.4
Mohamed Sanu ATL ,https://s3.amazonaws.com/ryaong792/WR/M.Sanu.jpg,58,1.9,11.9,0.1,56.8,656.7,5,1.1,95.1
Mike Williams LAC ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,59,0,0,0,49.6,657.6,4.8,0.9,92.6
Tavon Austin LAR ,https://s3.amazonaws.com/ryaong792/WR/T.Austin.jpg,60,26.2,153.7,1.3,51.5,537.7,3,1.6,91.5
Marqise Lee JAC ,https://s3.amazonaws.com/ryaong792/WR/M.Lee.jpg,61,6.2,38.5,0.1,52.4,652.5,3.8,1,90.5
Allen Hurns JAC ,https://s3.amazonaws.com/ryaong792/WR/A.Hurns.jpg,62,0.5,1,0,48.4,634,4.6,0.6,89.7
Tyrell Williams LAC ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,63,0,0,0,45.8,641.4,4.4,0.5,89.5
John Ross CIN ,https://s3.amazonaws.com/ryaong792/WR/J.Ross.jpg,64,1.6,9.8,0.1,46.5,657.5,3.8,0.6,88.6
Robert Woods LAR ,https://s3.amazonaws.com/ryaong792/WR/R.Woods.jpg,65,0,0,0,61.6,708.3,3.1,0.6,88.4
Josh Doctson WAS ,https://s3.amazonaws.com/ryaong792/WR/J.Doctson.jpg,66,0,0,0,49,674.6,3.6,0.6,87.7
Devin Funchess CAR ,https://s3.amazonaws.com/ryaong792/WR/D.Funchess.jpg,67,0,0,0,40.5,583.7,4.9,0.4,87
Will Fuller HOU ,https://s3.amazonaws.com/ryaong792/WR/W.Fuller.jpg,68,0.5,1,0,51.5,664,3.5,0.3,86.9
