Player,Image,Rank,RushATT,RushYDS,RushTDS,ReceivingREC,ReceivingYDS,ReceivingTDS,MiscFL,MiscFPTS
Corey Grant JAC ,https://s3.amazonaws.com/ryaong792/RB/C.Grant.jpg,117,10.2,45.5,0.3,2.6,20.6,0.3,0.2,9.5
Alex Collins SEA ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,118,17,73,0.2,2.5,20.5,0,0.5,9.3
Kapri Bibbs SF ,https://s3.amazonaws.com/ryaong792/RB/K.Bibbs.jpg,119,13.2,56,0.1,2.4,23.9,0.1,0.2,8.8
Ka'Deem Carey CHI ,https://s3.amazonaws.com/ryaong792/RB/K.Carey.jpg,120,15.5,60.5,0.1,3,23,0.1,0.2,8.6
Antonio Andrews TEN ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,121,14,58,0.3,2,13,0,0.2,8.5
Orleans Darkwa NYG ,https://s3.amazonaws.com/ryaong792/RB/O.Darkwa.jpg,122,13,51,0.3,2.5,18.5,0,0.2,8.4
Darrel Young CAR ,https://s3.amazonaws.com/ryaong792/RB/D.Young.jpg,123,4.4,15.1,0.3,3.9,34,0.2,0,7.9
Khalfani Muhammad TEN ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,124,13.5,52.5,0.4,0,0,0,0,7.7
Peyton Barber TB ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,125,11,49,0.4,1,7,0,0.2,7.6
Mack Brown WAS ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,126,10,45,0.3,2,12,0,0.1,7.3
Elijah Hood OAK ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,127,10,36,0.3,2,14,0.1,0.1,7.2
Chris Carson SEA ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,128,10,36,0.3,2,14,0.1,0.1,7.2
Antone Smith TB ,https://s3.amazonaws.com/ryaong792/RB/A.Smith.jpg,129,8,29,0.1,3,36,0,0.5,6.1
Knile Davis PIT ,https://s3.amazonaws.com/ryaong792/RB/K.Davis.jpg,130,14,50.5,0.1,1.5,9,0,0.1,6.1
Malcolm Brown LAR ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,131,9.3,32.6,0.1,3,24.6,0,0.2,5.9
Patrick DiMarco BUF ,https://s3.amazonaws.com/ryaong792/RB/P.DiMarco.jpg,132,2.4,8.5,0.1,4.2,33.2,0.2,0,5.8
Jalston Fowler TEN ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,133,6,19,0.1,2.5,25,0.1,0,5.6
Derek Watt LAC ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,134,1.5,4.4,0.1,3.1,37,0.2,0,5.3
Juwan Thompson DEN ,https://s3.amazonaws.com/ryaong792/RB/J.Thompson.jpg,135,10,38.5,0.1,2,14.5,0,0.3,5.3
Darius Jackson CLE ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,136,8,30,0.2,2,12,0,0.1,5.2
Taiwan Jones OAK ,https://s3.amazonaws.com/ryaong792/RB/T.Jones.jpg,137,8,31,0,2.5,20.5,0.1,0.2,5.1
Zach Line MIN ,https://s3.amazonaws.com/ryaong792/RB/Z.Line.jpg,138,4,8,0.2,1,14,0.2,0,4.6
Brandon Bolden NE ,https://s3.amazonaws.com/ryaong792/RB/B.Bolden.jpg,139,5,19,0,2,18,0.2,0.2,4.5
De'Angelo Henderson DEN ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,140,7.9,31.2,0.2,0,0,0,0,4.3
Raheem Mostert SF ,https://s3.amazonaws.com/ryaong792/RB/R.Mostert.jpg,141,7,29,0.2,1,6,0,0.2,4.3
George Atkinson CLE ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,142,7.3,28.1,0.2,0,0,0,0,4
Daniel Lasco NO ,https://s3.amazonaws.com/ryaong792/RB/D.Lasco.jpg,143,7,26,0.1,2,10,0,0.1,4
Troymaine Pope SEA ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,144,8,27,0.1,1,9,0,0.1,4
Jeremy McNichols TB ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,145,6.2,20.3,0.2,1,8,0.1,0.1,3.8
Akeem Hunt HOU ,https://s3.amazonaws.com/ryaong792/RB/A.Hunt.jpg,146,5,28,0,2,12,0,0.2,3.6
Malcolm Johnson SEA ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,147,1,2,0,5,40,0,0.4,3.4
Marcus Murphy NO ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,148,5,17,0.1,2,11,0,0.2,3
Josh Ferguson IND ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,149,3,4,0,4,26,0,0.2,2.6
James Develin NE ,https://s3.amazonaws.com/ryaong792/RB/J.Develin.jpg,150,1,4,0,2,18,0,0,2.2
Jay Prosch HOU ,https://s3.amazonaws.com/ryaong792/RB/J.Prosch.jpg,151,3.8,11.4,0.1,0,1,0,0,1.8
Dan Vitale CLE ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,152,1,3,0,2,15,0,0,1.8
Keith Smith DAL ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,153,2,5,0,2,11,0,0,1.6
Paul Lasike CHI ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,154,2,9,0,1,5,0,0,1.4
Michael Burton DET ,https://s3.amazonaws.com/ryaong792/RB/M.Burton.jpg,155,1,0,0,1,7,0.1,0.1,1.1
Sam Rogers LAR ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,156,2,5,0,1,5,0,0,1
Anthony Sherman KC ,https://s3.amazonaws.com/ryaong792/RB/A.Sherman.jpg,157,0,0,0,2,9,0,0,0.9
Roosevelt Nix PIT ,https://s3.amazonaws.com/ryaong792/RB/R.Nix.jpg,158,0,0,0,1,4,0,0,0.4
