Player,Image,Rank,ReceivingREC,ReceivingYDS,ReceivingTDS,MiscFL,MiscFPTS
Trey Burton PHI ,https://s3.amazonaws.com/ryaong792/TE/T.Burton.jpg,49,19.3,193.9,1.2,0,26.6
Dion Sims CHI ,https://s3.amazonaws.com/ryaong792/TE/D.Sims.jpg,50,16.6,166.8,1.6,0,26
Will Tye NYG ,https://s3.amazonaws.com/ryaong792/TE/W.Tye.jpg,51,19,181.1,1.2,0,25
Adam Shaheen CHI ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,52,15,158.3,1.4,0,24.2
Rhett Ellison NYG ,https://s3.amazonaws.com/ryaong792/TE/R.Ellison.jpg,53,16.3,159.3,1.2,0,23.1
Garrett Celek SF ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,54,13.6,160.2,0.8,0,20.5
Cole Wick DET ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,55,13,139,1,0,19.9
Crockett Gillmore BAL ,https://s3.amazonaws.com/ryaong792/TE/C.Gillmore.jpg,56,14.7,153,0.7,0,19.2
Luke Willson SEA ,https://s3.amazonaws.com/ryaong792/TE/L.Willson.jpg,57,12,127.4,1,0,18.7
Ladarius Green PIT ,https://s3.amazonaws.com/ryaong792/TE/L.Green.jpg,58,10,126,1,0,18.6
C.J. Uzomah CIN ,https://s3.amazonaws.com/ryaong792/TE/C.Uzomah.jpg,59,13,124,1,0,18.4
Lance Kendricks GB ,https://s3.amazonaws.com/ryaong792/TE/L.Kendricks.jpg,60,12.3,119.8,1,0,17.7
Ed Dickson CAR ,https://s3.amazonaws.com/ryaong792/TE/E.Dickson.jpg,61,10.7,116.1,1,0,17.3
Maxx Williams BAL ,https://s3.amazonaws.com/ryaong792/TE/M.Williams.jpg,62,12.7,124.2,0.8,0,16.9
Bucky Hodges MIN ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,63,11.5,111.7,0.8,0,16
Richard Rodgers GB ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,64,12.4,114.9,0.7,0,15.7
Troy Niklas ARI ,https://s3.amazonaws.com/ryaong792/TE/T.Niklas.jpg,65,9,96.1,1,0,15.6
Jeff Heuerman DEN ,https://s3.amazonaws.com/ryaong792/TE/J.Heuerman.jpg,66,8,90,1,0,15
Brent Celek PHI ,https://s3.amazonaws.com/ryaong792/TE/B.Celek.jpg,67,9.5,97.5,0.8,0,14.3
